genero_etiqueta,Time,Location_encoded,Zone_encoded,Habitat_encoded,Cranial_Capacity,Height,Incisor_Size_encoded,Jaw_Shape_encoded,Torus_Supraorbital_encoded,Prognathism_encoded,Foramen_encoded,Canine_Size_encoded,Canines_Shape_encoded,Tooth_Enamel_encoded,Tecno_encoded,tecno_type_mapping_encoded,Biped_encoded,foots_encoded,Diet_encoded,Sexual_Dimorphism_encoded,Hip_encoded,Vertical_Front_encoded,Anatomy_encoded,Migrated_encoded,genero_etiqueta_num,genero_especie_num
Homo temprano,1.37183399,0,1,3,877.31284,162.98728,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,3,16
Homo tardío,0.06751854,2,0,1,1038.90332,167.43058,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,4,23
Paranthropus,2.16533602,0,2,1,497.76942,114.54527,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,11
Homo temprano,2.44248443,1,3,3,844.87603,157.26074,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,3,15
Paranthropus,2.30232708,0,1,0,443.47546,117.65178,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Homininos,6.19856692,0,1,1,281.23029,120.45645,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Otros,0.6029362,0,2,1,341.50778,123.30642,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Australopithecus,2.38469286,0,1,2,358.38024,122.78833,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,1,8
Paranthropus,2.26533897,0,1,1,356.47928,101.47931,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Otros,0.47128947,0,2,1,411.305,130.48392,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Homininos,3.96272905,0,1,2,433.25134,111.21598,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Australopithecus,3.28914088,0,0,2,224.85153,111.70547,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Paranthropus,2.31820848,0,1,1,558.24112,103.40353,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Australopithecus,3.31033055,0,0,2,238.17071,111.63235,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Homo temprano,0.822893,2,3,3,1159.29715,173.36237,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Homo temprano,1.72387135,0,1,3,719.24948,158.83063,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,3,16
Australopithecus,3.64066634,0,2,1,435.50692,111.983,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Paranthropus,1.92596417,0,2,1,519.83993,119.11253,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,11
Homininos,4.38935854,0,1,2,210.29162,112.08792,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Australopithecus,4.8490228,0,1,1,392.49939,127.73883,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Homininos,6.39957404,0,1,1,67.39486,123.24447,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Otros,0.09773263,1,1,0,173.27105,101.08778,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Otros,0.44294736,0,2,1,289.46767,125.52176,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Otros,0.52446132,1,1,0,283.90771,107.26798,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Otros,0.9331512,1,1,0,358.724,90.66953,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Homo temprano,0.22146089,2,0,1,1305.98395,182.8652,2,2,3,4,3,1,1,2,2,3,3,1,0,1,3,2,3,0,3,21
Paranthropus,2.38078781,0,1,0,485.39422,105.24859,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Homininos,4.39010346,0,1,2,339.8521,109.20813,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Paranthropus,3.23087728,0,1,0,304.79557,107.66897,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Homo temprano,0.68263848,2,0,1,1321.0444,183.57257,2,2,3,4,3,1,1,2,2,3,3,1,0,1,3,2,3,0,3,21
Homo tardío,0.59931401,2,0,1,1059.03957,159.91157,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,4,23
Paranthropus,2.0803222,0,1,1,481.55124,110.34226,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Homo tardío,0.46234151,0,1,3,1245.43066,158.29878,4,3,2,2,3,0,1,1,2,3,3,1,1,1,0,1,1,0,4,22
Homo temprano,1.28422314,2,3,3,1046.54877,174.31537,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Homo tardío,1.13892759,0,1,3,1047.06768,153.59376,4,3,2,2,3,0,1,1,2,3,3,1,1,1,0,1,1,0,4,22
Australopithecus,4.04546463,0,1,2,269.55826,125.58802,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Paranthropus,2.5469918,0,1,1,515.45746,111.16277,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Homo temprano,1.40568067,2,3,3,1068.90585,160.74917,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Homo tardío,0.13330231,0,1,3,1147.46324,178.21647,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Homininos,4.40932126,0,1,2,384.5414,103.71229,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Homo tardío,0.90364936,2,0,1,1094.34401,159.15156,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,4,23
Australopithecus,3.35787424,0,2,1,548.53558,113.06971,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Australopithecus,4.88313462,0,1,1,265.64583,112.65972,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Homininos,6.30182607,0,1,1,214.49513,127.83503,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Paranthropus,2.57470294,0,2,1,583.82903,118.74709,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,11
Homo temprano,1.87731025,0,1,3,723.59949,150.67843,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,3,16
Homininos,7.31394998,0,0,2,16.58248,85.21966,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Australopithecus,2.00516215,0,2,2,404.13339,107.31468,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,1,9
Homininos,6.78958548,0,0,2,76.05867,86.6797,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Paranthropus,3.0468895,0,1,0,494.01471,105.97055,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Australopithecus,3.6690979,0,2,1,479.67341,110.32008,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Homininos,6.39139347,0,1,1,42.04681,114.89129,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Australopithecus,4.89286154,0,1,1,432.18947,113.67977,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Homininos,6.25128246,0,1,1,162.36137,126.40182,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Homo temprano,0.36812798,2,0,1,1210.14009,181.54439,2,2,3,4,3,1,1,2,2,3,3,1,0,1,3,2,3,0,3,21
Australopithecus,4.17814944,0,1,1,356.85958,115.77929,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Homo temprano,1.32425855,2,3,3,986.13372,171.19864,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Paranthropus,1.92998026,0,2,1,486.5155,120.17261,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,11
Homo temprano,1.71298652,1,3,3,819.47679,143.67456,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,3,15
Homininos,6.27448294,0,1,1,45.3329,111.25725,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Otros,0.98523002,0,2,1,203.53887,136.83516,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Paranthropus,2.3259743,0,1,1,568.60736,119.4267,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Homininos,7.25883171,0,0,2,275.05563,96.18937,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Homininos,4.12987516,0,1,2,375.15451,114.32246,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Homo temprano,1.89047896,1,3,3,914.19783,152.03637,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,3,17
Paranthropus,2.33106594,0,2,1,611.00685,124.69075,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,11
Homo temprano,1.33266085,1,3,3,900.3921,169.74183,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,3,17
Paranthropus,2.96385379,0,1,0,473.6688,103.48121,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Homo temprano,2.32673039,0,1,3,791.83583,124.92154,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,3,13
Homo temprano,2.97567375,0,1,3,770.52075,138.47914,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,3,13
Australopithecus,1.96322514,0,2,2,352.33934,107.32205,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,1,9
Otros,0.10242233,1,1,0,202.41944,97.09232,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Australopithecus,3.74501043,0,2,1,635.60519,108.76029,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Australopithecus,4.12652392,0,2,1,533.25031,114.11048,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Australopithecus,4.16408402,0,1,2,332.08146,123.45879,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Australopithecus,1.98805777,0,2,2,509.18438,117.65887,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,1,9
Paranthropus,2.50118706,0,1,0,366.27239,118.87912,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Homo temprano,1.16748049,2,0,1,1257.24945,167.63038,2,2,3,4,3,1,1,2,2,3,3,1,0,1,3,2,3,0,3,21
Homo tardío,0.4416583,2,0,1,978.76866,150.42216,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,4,23
Australopithecus,3.75586313,0,0,2,332.426,117.24651,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Australopithecus,3.82494776,0,0,2,256.80343,124.56728,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Paranthropus,2.0665209,0,1,1,624.69043,117.41109,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Homininos,7.69810083,0,0,2,263.32269,82.42131,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Paranthropus,2.31147955,0,1,1,474.8071,109.42716,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Australopithecus,2.30633599,0,1,2,486.29995,121.39817,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,1,8
Homininos,4.56904145,0,1,2,431.79988,112.35859,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Australopithecus,4.16187874,0,0,2,393.76799,118.84436,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Homo temprano,1.44220032,2,3,3,1142.26063,163.62623,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Homo temprano,1.56530805,1,3,3,966.66066,152.35935,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,3,17
Homininos,6.89781951,0,0,2,21.07684,90.62666,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Australopithecus,4.07998106,0,2,1,552.71489,108.22031,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Otros,0.25717236,0,2,1,316.00172,136.27531,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Homo temprano,2.60053065,0,1,3,722.64564,136.84111,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,3,13
Homo tardío,0.01848733,0,1,3,1259.70445,173.40992,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Australopithecus,3.48635758,0,2,1,437.30492,100.16006,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Otros,0.05918463,1,1,0,394.98208,91.50344,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Otros,0.83627419,0,2,1,353.14451,122.92696,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Australopithecus,1.68527504,0,2,2,374.13895,116.47158,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,1,9
Homo tardío,0.71293885,2,0,1,1170.39718,159.19622,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,4,23
Otros,0.80813077,0,2,1,371.5607,125.8757,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Australopithecus,4.15112077,0,2,1,691.08283,110.44317,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Homo temprano,2.00968304,0,1,3,888.48652,168.59545,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,3,16
Homo tardío,0.52501596,0,1,3,1307.83754,165.46694,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Homo temprano,1.70221219,1,3,3,1012.03586,160.72639,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,3,17
Homo tardío,0.66107936,0,1,3,1077.20648,148.22864,4,3,2,2,3,0,1,1,2,3,3,1,1,1,0,1,1,0,4,22
Homo temprano,1.32761721,0,1,3,891.23429,168.36834,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,3,16
Australopithecus,3.65730021,0,0,2,417.73432,112.36668,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Homo temprano,0.82038141,2,3,3,1137.71499,160.2656,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Homo tardío,0.42195882,0,1,3,1231.04178,167.29596,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Australopithecus,2.38324242,0,1,2,240.44898,110.92621,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,1,8
Homo temprano,2.86648225,0,1,3,557.87737,139.16404,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,3,14
Homo temprano,3.03728532,0,1,3,541.90949,135.16456,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,3,14
Otros,0.94329208,0,2,1,429.12315,125.4929,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Otros,0.97044798,0,2,1,469.05198,129.81324,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Australopithecus,3.97109806,0,0,2,246.2449,113.04922,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Australopithecus,3.53577668,0,0,2,402.21944,129.37593,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Paranthropus,1.75113218,0,2,1,560.91257,114.44925,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,11
Homo tardío,0.02210051,0,1,3,1167.50164,175.10516,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Paranthropus,2.3164694,0,1,0,423.75618,118.84539,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Australopithecus,4.10579438,0,2,1,523.9385,102.15003,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Australopithecus,4.11533427,0,0,2,183.8569,116.40449,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Homininos,6.02040224,0,1,1,155.20828,123.37238,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Paranthropus,2.92746909,0,1,0,343.82479,111.68434,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Homo temprano,0.64606195,2,0,1,1203.67931,180.43375,2,2,3,4,3,1,1,2,2,3,3,1,0,1,3,2,3,0,3,21
Homininos,6.55222035,0,1,1,192.76871,127.02365,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Australopithecus,2.35987113,0,2,2,549.76051,109.168,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,1,9
Homininos,6.44013425,0,1,1,69.97643,122.6883,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Paranthropus,2.17134672,0,1,1,427.56195,115.20506,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Homo temprano,2.45878115,0,1,3,679.55018,124.4026,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,3,14
Homo temprano,2.8699656,0,1,3,614.19668,122.93127,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,3,14
Homininos,4.35899811,0,1,2,183.23151,102.21839,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Homo temprano,0.933881,2,3,3,971.15054,160.16245,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Australopithecus,4.55071644,0,1,1,409.75952,121.36795,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Australopithecus,3.8548079,0,1,2,319.6838,133.09042,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Australopithecus,2.00796171,0,2,2,272.81488,103.82512,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,1,9
Australopithecus,2.10468425,0,2,2,357.17627,118.88359,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,1,9
Homininos,4.67705626,0,1,2,215.11191,119.47453,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Australopithecus,2.62983234,0,1,2,317.47395,120.89497,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,1,8
Homo temprano,1.49579648,2,3,3,1124.15263,176.80104,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Homo tardío,0.81717071,0,1,3,1045.9762,148.22647,4,3,2,2,3,0,1,1,2,3,3,1,1,1,0,1,1,0,4,22
Australopithecus,4.16076178,0,0,2,407.09139,117.05204,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Homo temprano,2.89033336,0,1,3,745.25495,138.51642,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,3,13
Australopithecus,3.22124209,0,2,1,645.10657,114.68699,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Australopithecus,4.00997821,0,1,2,432.43626,120.3316,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Homininos,7.05100315,0,0,2,148.17555,95.17269,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Otros,0.62976612,1,1,0,440.23734,91.39736,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Paranthropus,2.52285272,0,1,1,531.43548,108.59823,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Homininos,6.57565737,0,1,1,22.83244,115.62098,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Homininos,7.03908668,0,0,2,117.00435,97.6906,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Homo temprano,1.66420576,1,3,3,1022.86337,168.5913,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,3,17
Australopithecus,4.18003907,0,1,1,211.64918,116.39822,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Australopithecus,2.20729216,0,1,2,412.69124,126.49875,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,1,8
Homo temprano,2.74073362,0,1,3,831.364,133.83502,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,3,13
Homininos,7.0907633,0,0,2,44.93134,88.73822,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Homo temprano,2.7014627,0,1,3,766.34872,138.79862,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,3,13
Paranthropus,3.13183698,0,1,0,554.67291,103.10436,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Homo tardío,0.6789541,2,0,1,1097.90791,156.47804,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,4,23
Paranthropus,2.27919684,0,2,1,592.98502,113.08101,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,11
Homo temprano,3.00969935,0,1,3,632.929,136.04931,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,3,13
Australopithecus,3.71354199,0,1,2,453.46328,137.08031,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Homo temprano,0.61837309,2,0,1,1164.7909,169.12906,2,2,3,4,3,1,1,2,2,3,3,1,0,1,3,2,3,0,3,21
Homininos,5.97660063,0,1,1,191.93661,122.30273,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Paranthropus,2.36668907,0,1,0,448.59776,118.91267,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Homo temprano,1.04292098,1,3,3,910.76912,156.54107,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,3,17
Paranthropus,2.24048247,0,2,1,447.56348,121.6256,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,11
Paranthropus,2.05495962,0,1,1,459.74989,101.63683,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Australopithecus,4.29281214,0,1,1,392.50521,122.10496,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Homo tardío,0.34826887,2,0,1,997.29369,167.1093,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,4,23
Homo tardío,0.77586852,2,0,1,1097.89301,159.96003,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,4,23
Homo tardío,0.9643714,0,1,3,1207.003,164.39038,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Homininos,5.98750616,0,1,1,62.33135,122.38573,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Australopithecus,3.86339888,0,0,2,281.00984,116.37325,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Paranthropus,2.63639552,0,1,1,624.39264,107.15412,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Homininos,5.75395078,0,1,1,296.99522,122.75871,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Homo tardío,0.15975699,0,1,3,1316.04454,169.02486,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Homininos,6.90686994,0,0,2,37.91616,82.20432,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Paranthropus,2.62415678,0,1,0,319.25777,118.46906,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Homo tardío,1.16994497,0,1,3,980.2856,148.97696,4,3,2,2,3,0,1,1,2,3,3,1,1,1,0,1,1,0,4,22
Homininos,4.45058568,0,1,2,276.0753,108.76417,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Homo tardío,0.23050977,0,1,3,1085.31714,168.60892,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Homo temprano,1.35467624,0,1,3,907.34918,153.67615,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,3,16
Homo temprano,2.34772141,1,3,3,623.19959,153.06295,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,3,15
Homininos,6.6768173,0,1,1,27.68642,110.88508,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Homo temprano,1.86124198,1,3,3,846.45135,145.94074,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,3,15
Homo tardío,0.16414171,0,1,3,1244.7009,160.13389,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Australopithecus,4.23618748,0,1,1,434.15639,116.67666,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Paranthropus,2.54223129,0,1,0,490.44787,116.96568,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Otros,0.87430094,1,1,0,212.7325,96.99471,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Paranthropus,2.42867189,0,1,0,597.85148,110.14389,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Homo tardío,0.16026855,0,1,3,1318.08059,164.3978,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Homininos,5.88067634,0,1,1,178.64218,110.58162,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Homo tardío,0.27119703,2,0,1,1185.70633,157.718,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,4,23
Australopithecus,3.88504768,0,1,2,337.4442,122.73604,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Australopithecus,3.87871742,0,0,2,334.25124,121.31163,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Homininos,4.49100283,0,1,2,236.37146,103.85924,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Homo temprano,2.11666487,1,3,3,720.38079,141.1101,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,3,15
Homininos,4.2178677,0,1,2,364.96943,113.84155,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Paranthropus,2.0449202,0,1,1,542.88813,105.98897,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Paranthropus,2.37887679,0,2,1,569.03783,115.49728,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,11
Australopithecus,3.44502167,0,0,2,210.2854,114.95151,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
